,Datas,55470000
102,1972-04-12,20.5
103,1972-04-13,18.3
104,1972-04-14,25.6
105,1972-04-15,24.1
106,1972-04-16,27.5
107,1972-04-17,37.2
108,1972-04-18,41.9
109,1972-04-19,53.8
110,1972-04-20,45.4
111,1972-04-21,40.7
112,1972-04-22,28.4
113,1972-04-23,27.5
114,1972-04-24,25.6
115,1972-04-25,24.9
116,1972-04-26,22.7
117,1972-04-27,22.7
118,1972-04-28,21.2
119,1972-04-29,21.2
120,1972-04-30,21.2
121,1972-05-01,21.2
122,1972-05-02,21.2
123,1972-05-03,20.5
124,1972-05-04,23.4
125,1972-05-05,23.4
126,1972-05-06,23.4
127,1972-05-07,21.2
128,1972-05-08,18.3
129,1972-05-09,18.3
130,1972-05-10,18.3
131,1972-05-11,17.7
132,1972-05-12,17.7
133,1972-05-13,17.2
134,1972-05-14,17.2
135,1972-05-15,17.2
136,1972-05-16,18.3
137,1972-05-17,19.0
138,1972-05-18,19.0
139,1972-05-19,18.3
140,1972-05-20,18.3
141,1972-05-21,18.3
142,1972-05-22,18.3
143,1972-05-23,18.3
144,1972-05-24,17.2
145,1972-05-25,17.2
146,1972-05-26,20.5
147,1972-05-27,19.8
148,1972-05-28,19.0
149,1972-05-29,19.0
150,1972-05-30,18.3
151,1972-05-31,18.3
152,1972-06-01,17.7
153,1972-06-02,17.2
154,1972-06-03,17.7
155,1972-06-04,18.3
156,1972-06-05,18.3
157,1972-06-06,17.2
158,1972-06-07,17.2
159,1972-06-08,17.7
160,1972-06-09,18.3
161,1972-06-10,18.3
162,1972-06-11,18.3
163,1972-06-12,17.7
164,1972-06-13,17.2
165,1972-06-14,17.2
166,1972-06-15,17.2
167,1972-06-16,16.1
168,1972-06-17,18.3
169,1972-06-18,18.3
170,1972-06-19,18.3
171,1972-06-20,17.7
172,1972-06-21,16.6
173,1972-06-22,16.1
174,1972-06-23,16.1
175,1972-06-24,14.9
176,1972-06-25,14.4
177,1972-06-26,13.8
178,1972-06-27,13.8
179,1972-06-28,13.8
180,1972-06-29,12.7
181,1972-06-30,11.9
182,1972-07-01,11.9
183,1972-07-02,16.1
184,1972-07-03,17.2
185,1972-07-04,16.1
186,1972-07-05,19.0
187,1972-07-06,22.7
188,1972-07-07,19.8
189,1972-07-08,19.0
190,1972-07-09,18.3
191,1972-07-10,18.3
192,1972-07-11,17.7
193,1972-07-12,18.3
194,1972-07-13,17.2
195,1972-07-14,17.7
196,1972-07-15,19.0
197,1972-07-16,20.5
198,1972-07-17,23.4
199,1972-07-18,26.5
200,1972-07-19,28.4
201,1972-07-20,27.5
202,1972-07-21,29.3
203,1972-07-22,29.3
204,1972-07-23,25.6
205,1972-07-24,25.6
206,1972-07-25,24.1
207,1972-07-26,21.2
208,1972-07-27,19.8
209,1972-07-28,19.0
210,1972-07-29,18.3
211,1972-07-30,18.3
212,1972-07-31,17.7
213,1972-08-01,17.2
214,1972-08-02,16.1
215,1972-08-03,17.7
216,1972-08-04,17.7
217,1972-08-05,17.7
218,1972-08-06,17.2
219,1972-08-07,15.5
220,1972-08-08,14.9
221,1972-08-09,13.8
222,1972-08-10,12.7
223,1972-08-11,12.7
224,1972-08-12,13.8
225,1972-08-13,16.1
226,1972-08-14,19.0
227,1972-08-15,19.8
228,1972-08-16,19.8
229,1972-08-17,17.7
230,1972-08-18,17.2
231,1972-08-19,17.2
232,1972-08-20,16.1
233,1972-08-21,15.5
234,1972-08-22,13.8
235,1972-08-23,14.4
236,1972-08-24,13.8
237,1972-08-25,12.7
238,1972-08-26,13.3
239,1972-08-27,12.3
240,1972-08-28,11.9
241,1972-08-29,11.5
242,1972-08-30,10.6
243,1972-08-31,10.2
244,1972-09-01,10.6
245,1972-09-02,10.2
246,1972-09-03,9.82
247,1972-09-04,10.2
248,1972-09-05,11.1
249,1972-09-06,13.8
250,1972-09-07,18.3
251,1972-09-08,18.3
252,1972-09-09,19.8
253,1972-09-10,19.8
254,1972-09-11,16.6
255,1972-09-12,16.1
256,1972-09-13,21.2
257,1972-09-14,22.7
258,1972-09-15,22.7
259,1972-09-16,24.1
260,1972-09-17,24.9
261,1972-09-18,26.5
262,1972-09-19,28.4
263,1972-09-20,28.4
264,1972-09-21,27.5
265,1972-09-22,26.5
266,1972-09-23,25.6
267,1972-09-24,24.1
268,1972-09-25,23.4
269,1972-09-26,22.7
270,1972-09-27,21.2
271,1972-09-28,21.2
272,1972-09-29,19.8
273,1972-09-30,19.8
274,1972-10-01,17.2
275,1972-10-02,16.6
276,1972-10-03,16.1
277,1972-10-04,15.5
278,1972-10-05,14.9
279,1972-10-06,12.7
280,1972-10-07,12.7
281,1972-10-08,12.7
282,1972-10-09,12.7
283,1972-10-10,12.7
284,1972-10-11,15.5
285,1972-10-12,17.2
286,1972-10-13,20.5
287,1972-10-14,25.6
288,1972-10-15,25.6
289,1972-10-16,22.7
290,1972-10-17,21.2
291,1972-10-18,18.3
292,1972-10-19,18.3
293,1972-10-20,21.9
294,1972-10-21,25.6
295,1972-10-22,25.6
296,1972-10-23,26.5
297,1972-10-24,18.3
298,1972-10-25,17.2
299,1972-10-26,17.2
300,1972-10-27,15.5
301,1972-10-28,13.8
302,1972-10-29,13.8
303,1972-10-30,12.7
304,1972-10-31,10.2
305,1972-11-01,11.1
306,1972-11-02,10.2
307,1972-11-03,9.41
308,1972-11-04,7.98
309,1972-11-05,6.77
310,1972-11-06,6.47
311,1972-11-07,5.86
312,1972-11-08,5.56
313,1972-11-09,5.35
314,1972-11-10,6.47
315,1972-11-11,5.56
316,1972-11-12,9.41
317,1972-11-13,14.4
318,1972-11-14,19.8
319,1972-11-15,24.1
320,1972-11-16,27.5
321,1972-11-17,46.6
322,1972-11-18,168.0
323,1972-11-19,103.0
324,1972-11-20,53.8
325,1972-11-21,73.5
326,1972-11-22,87.3
327,1972-11-23,78.8
328,1972-11-24,78.8
329,1972-11-25,68.2
330,1972-11-26,49.5
331,1972-11-27,49.5
332,1972-11-28,59.6
333,1972-11-29,80.9
334,1972-11-30,68.2
335,1972-12-01,50.9
336,1972-12-02,40.7
337,1972-12-03,39.6
338,1972-12-04,26.5
339,1972-12-05,19.8
340,1972-12-06,18.3
341,1972-12-07,16.1
342,1972-12-08,13.3
343,1972-12-09,12.7
344,1972-12-10,12.7
345,1972-12-11,12.3
346,1972-12-12,13.8
347,1972-12-13,16.6
348,1972-12-14,20.5
349,1972-12-15,23.4
350,1972-12-16,25.6
351,1972-12-17,26.5
352,1972-12-18,29.3
353,1972-12-19,34.0
354,1972-12-20,53.8
355,1972-12-21,44.3
356,1972-12-22,45.4
357,1972-12-23,64.6
358,1972-12-24,105.0
359,1972-12-25,110.0
360,1972-12-26,95.8
361,1972-12-27,87.3
362,1972-12-28,70.0
363,1972-12-29,46.6
364,1972-12-30,33.0
365,1972-12-31,27.5
366,1973-01-01,
367,1973-01-02,
368,1973-01-03,
369,1973-01-04,
370,1973-01-05,
371,1973-01-06,
372,1973-01-07,
373,1973-01-08,
374,1973-01-09,
375,1973-01-10,
376,1973-01-11,
377,1973-01-12,
378,1973-01-13,
379,1973-01-14,
380,1973-01-15,
381,1973-01-16,
382,1973-01-17,
383,1973-01-18,
384,1973-01-19,
385,1973-01-20,
386,1973-01-21,
387,1973-01-22,
388,1973-01-23,
389,1973-01-24,
390,1973-01-25,
391,1973-01-26,
392,1973-01-27,
393,1973-01-28,
394,1973-01-29,
395,1973-01-30,
396,1973-01-31,
397,1973-02-01,
398,1973-02-02,
399,1973-02-03,
400,1973-02-04,
401,1973-02-05,
402,1973-02-06,
403,1973-02-07,
404,1973-02-08,
405,1973-02-09,
406,1973-02-10,
407,1973-02-11,
408,1973-02-12,
409,1973-02-13,
410,1973-02-14,
411,1973-02-15,
412,1973-02-16,
413,1973-02-17,
414,1973-02-18,
415,1973-02-19,
416,1973-02-20,
417,1973-02-21,
418,1973-02-22,
419,1973-02-23,
420,1973-02-24,
421,1973-02-25,
422,1973-02-26,
423,1973-02-27,
424,1973-02-28,
425,1973-03-01,
426,1973-03-02,
427,1973-03-03,
428,1973-03-04,
429,1973-03-05,
430,1973-03-06,
431,1973-03-07,
432,1973-03-08,
433,1973-03-09,
434,1973-03-10,
435,1973-03-11,
436,1973-03-12,
437,1973-03-13,
438,1973-03-14,
439,1973-03-15,
440,1973-03-16,
441,1973-03-17,
442,1973-03-18,
443,1973-03-19,
444,1973-03-20,
445,1973-03-21,
446,1973-03-22,
447,1973-03-23,
448,1973-03-24,
449,1973-03-25,
450,1973-03-26,
451,1973-03-27,
452,1973-03-28,
453,1973-03-29,
454,1973-03-30,
455,1973-03-31,
456,1973-04-01,
457,1973-04-02,
458,1973-04-03,
459,1973-04-04,
460,1973-04-05,
461,1973-04-06,
462,1973-04-07,
463,1973-04-08,
464,1973-04-09,
465,1973-04-10,
466,1973-04-11,
467,1973-04-12,
468,1973-04-13,
469,1973-04-14,
470,1973-04-15,
471,1973-04-16,
472,1973-04-17,
473,1973-04-18,
474,1973-04-19,
475,1973-04-20,
476,1973-04-21,
477,1973-04-22,
478,1973-04-23,
479,1973-04-24,
480,1973-04-25,
481,1973-04-26,
482,1973-04-27,
483,1973-04-28,
484,1973-04-29,
485,1973-04-30,
486,1973-05-01,
487,1973-05-02,
488,1973-05-03,
489,1973-05-04,
490,1973-05-05,
491,1973-05-06,
492,1973-05-07,
493,1973-05-08,
494,1973-05-09,
495,1973-05-10,
496,1973-05-11,
497,1973-05-12,
498,1973-05-13,
499,1973-05-14,
500,1973-05-15,
501,1973-05-16,
502,1973-05-17,
503,1973-05-18,
504,1973-05-19,
505,1973-05-20,
506,1973-05-21,
507,1973-05-22,
508,1973-05-23,
509,1973-05-24,
510,1973-05-25,
511,1973-05-26,
512,1973-05-27,
513,1973-05-28,
514,1973-05-29,
515,1973-05-30,
516,1973-05-31,
517,1973-06-01,
518,1973-06-02,
519,1973-06-03,
520,1973-06-04,
521,1973-06-05,
522,1973-06-06,
523,1973-06-07,
524,1973-06-08,
525,1973-06-09,
526,1973-06-10,
527,1973-06-11,
528,1973-06-12,
529,1973-06-13,
530,1973-06-14,
531,1973-06-15,
532,1973-06-16,
533,1973-06-17,
534,1973-06-18,
535,1973-06-19,
536,1973-06-20,
537,1973-06-21,
538,1973-06-22,
539,1973-06-23,
540,1973-06-24,
541,1973-06-25,
542,1973-06-26,
543,1973-06-27,
544,1973-06-28,
545,1973-06-29,
546,1973-06-30,
547,1973-07-01,
548,1973-07-02,
549,1973-07-03,
550,1973-07-04,
551,1973-07-05,
552,1973-07-06,
553,1973-07-07,
554,1973-07-08,
555,1973-07-09,
556,1973-07-10,
557,1973-07-11,
558,1973-07-12,
559,1973-07-13,
560,1973-07-14,
561,1973-07-15,
562,1973-07-16,
563,1973-07-17,
564,1973-07-18,
565,1973-07-19,
566,1973-07-20,
567,1973-07-21,
568,1973-07-22,
569,1973-07-23,
570,1973-07-24,
571,1973-07-25,
572,1973-07-26,
573,1973-07-27,
574,1973-07-28,
575,1973-07-29,
576,1973-07-30,
577,1973-07-31,
578,1973-08-01,
579,1973-08-02,
580,1973-08-03,
581,1973-08-04,
582,1973-08-05,
583,1973-08-06,
584,1973-08-07,
585,1973-08-08,
586,1973-08-09,
587,1973-08-10,
588,1973-08-11,
589,1973-08-12,
590,1973-08-13,
591,1973-08-14,
592,1973-08-15,
593,1973-08-16,
594,1973-08-17,
595,1973-08-18,
596,1973-08-19,
597,1973-08-20,
598,1973-08-21,
599,1973-08-22,
600,1973-08-23,
601,1973-08-24,
602,1973-08-25,
603,1973-08-26,
604,1973-08-27,
605,1973-08-28,
606,1973-08-29,
607,1973-08-30,
608,1973-08-31,
609,1973-09-01,
610,1973-09-02,
611,1973-09-03,
612,1973-09-04,
613,1973-09-05,
614,1973-09-06,
615,1973-09-07,
616,1973-09-08,
617,1973-09-09,
618,1973-09-10,
619,1973-09-11,
620,1973-09-12,
621,1973-09-13,
622,1973-09-14,
623,1973-09-15,
624,1973-09-16,
625,1973-09-17,
626,1973-09-18,
627,1973-09-19,
628,1973-09-20,
629,1973-09-21,
630,1973-09-22,
631,1973-09-23,
632,1973-09-24,
633,1973-09-25,
634,1973-09-26,
635,1973-09-27,
636,1973-09-28,
637,1973-09-29,
638,1973-09-30,
639,1973-10-01,
640,1973-10-02,
641,1973-10-03,
642,1973-10-04,
643,1973-10-05,
644,1973-10-06,
645,1973-10-07,
646,1973-10-08,
647,1973-10-09,
648,1973-10-10,
649,1973-10-11,
650,1973-10-12,
651,1973-10-13,
652,1973-10-14,
653,1973-10-15,
654,1973-10-16,
655,1973-10-17,
656,1973-10-18,
657,1973-10-19,
658,1973-10-20,
659,1973-10-21,
660,1973-10-22,
661,1973-10-23,
662,1973-10-24,
663,1973-10-25,
664,1973-10-26,
665,1973-10-27,
666,1973-10-28,
667,1973-10-29,
668,1973-10-30,
669,1973-10-31,
670,1973-11-01,
671,1973-11-02,
672,1973-11-03,
673,1973-11-04,
674,1973-11-05,
675,1973-11-06,
676,1973-11-07,
677,1973-11-08,
678,1973-11-09,
679,1973-11-10,
680,1973-11-11,
681,1973-11-12,
682,1973-11-13,
683,1973-11-14,
684,1973-11-15,
685,1973-11-16,
686,1973-11-17,
687,1973-11-18,
688,1973-11-19,
689,1973-11-20,
690,1973-11-21,
691,1973-11-22,
692,1973-11-23,
693,1973-11-24,
694,1973-11-25,
695,1973-11-26,
696,1973-11-27,
697,1973-11-28,
698,1973-11-29,
699,1973-11-30,
700,1973-12-01,
701,1973-12-02,
702,1973-12-03,
703,1973-12-04,
704,1973-12-05,
705,1973-12-06,
706,1973-12-07,
707,1973-12-08,
708,1973-12-09,
709,1973-12-10,
710,1973-12-11,
711,1973-12-12,
712,1973-12-13,
713,1973-12-14,
714,1973-12-15,
715,1973-12-16,
716,1973-12-17,
717,1973-12-18,
718,1973-12-19,
719,1973-12-20,
720,1973-12-21,
721,1973-12-22,
722,1973-12-23,
723,1973-12-24,
724,1973-12-25,
725,1973-12-26,
726,1973-12-27,
727,1973-12-28,
728,1973-12-29,
729,1973-12-30,
730,1973-12-31,
731,1974-01-01,
732,1974-01-02,
733,1974-01-03,
734,1974-01-04,
735,1974-01-05,
736,1974-01-06,
737,1974-01-07,
738,1974-01-08,
739,1974-01-09,
740,1974-01-10,
741,1974-01-11,
742,1974-01-12,
743,1974-01-13,
744,1974-01-14,
745,1974-01-15,
746,1974-01-16,
747,1974-01-17,
748,1974-01-18,
749,1974-01-19,
750,1974-01-20,
751,1974-01-21,
752,1974-01-22,
753,1974-01-23,
754,1974-01-24,
755,1974-01-25,
756,1974-01-26,
757,1974-01-27,
758,1974-01-28,
759,1974-01-29,
760,1974-01-30,
761,1974-01-31,
762,1974-02-01,
763,1974-02-02,
764,1974-02-03,
765,1974-02-04,
766,1974-02-05,
767,1974-02-06,
768,1974-02-07,
769,1974-02-08,
770,1974-02-09,
771,1974-02-10,
772,1974-02-11,
773,1974-02-12,
774,1974-02-13,
775,1974-02-14,
776,1974-02-15,
777,1974-02-16,
778,1974-02-17,
779,1974-02-18,
780,1974-02-19,
781,1974-02-20,
782,1974-02-21,
783,1974-02-22,
784,1974-02-23,
785,1974-02-24,
786,1974-02-25,
787,1974-02-26,
788,1974-02-27,
789,1974-02-28,
790,1974-03-01,13.6
791,1974-03-02,12.5
792,1974-03-03,11.4
793,1974-03-04,9.22
794,1974-03-05,9.22
795,1974-03-06,10.3
796,1974-03-07,10.9
797,1974-03-08,11.4
798,1974-03-09,10.9
799,1974-03-10,11.4
800,1974-03-11,13.1
801,1974-03-12,14.9
802,1974-03-13,13.6
803,1974-03-14,13.6
804,1974-03-15,13.6
805,1974-03-16,14.9
806,1974-03-17,15.6
807,1974-03-18,16.9
808,1974-03-19,20.2
809,1974-03-20,22.5
810,1974-03-21,24.8
811,1974-03-22,25.6
812,1974-03-23,26.4
813,1974-03-24,26.4
814,1974-03-25,27.9
815,1974-03-26,24.8
816,1974-03-27,24.8
817,1974-03-28,33.2
818,1974-03-29,39.6
819,1974-03-30,50.7
820,1974-03-31,60.7
821,1974-04-01,70.0
822,1974-04-02,66.5
823,1974-04-03,66.5
824,1974-04-04,63.0
825,1974-04-05,59.5
826,1974-04-06,56.1
827,1974-04-07,41.5
828,1974-04-08,30.5
829,1974-04-09,26.4
830,1974-04-10,18.9
831,1974-04-11,17.6
832,1974-04-12,16.2
833,1974-04-13,14.3
834,1974-04-14,14.9
835,1974-04-15,14.9
836,1974-04-16,13.6
837,1974-04-17,13.6
838,1974-04-18,13.6
839,1974-04-19,13.6
840,1974-04-20,13.6
841,1974-04-21,13.6
842,1974-04-22,13.1
843,1974-04-23,13.1
844,1974-04-24,13.1
845,1974-04-25,13.1
846,1974-04-26,16.2
847,1974-04-27,19.5
848,1974-04-28,32.3
849,1974-04-29,36.7
850,1974-04-30,41.5
851,1974-05-01,39.6
852,1974-05-02,34.1
853,1974-05-03,28.8
854,1974-05-04,27.1
855,1974-05-05,31.4
856,1974-05-06,33.2
857,1974-05-07,27.9
858,1974-05-08,29.7
859,1974-05-09,27.1
860,1974-05-10,27.1
861,1974-05-11,27.1
862,1974-05-12,31.4
863,1974-05-13,36.7
864,1974-05-14,43.5
865,1974-05-15,46.4
866,1974-05-16,47.5
867,1974-05-17,46.4
868,1974-05-18,45.4
869,1974-05-19,46.4
870,1974-05-20,46.4
871,1974-05-21,46.4
872,1974-05-22,43.5
873,1974-05-23,38.6
874,1974-05-24,40.6
875,1974-05-25,43.5
876,1974-05-26,44.5
877,1974-05-27,47.5
878,1974-05-28,46.4
879,1974-05-29,46.4
880,1974-05-30,42.5
881,1974-05-31,39.6
882,1974-06-01,35.8
883,1974-06-02,34.1
884,1974-06-03,29.7
885,1974-06-04,28.8
886,1974-06-05,27.9
887,1974-06-06,27.1
888,1974-06-07,26.4
889,1974-06-08,24.8
890,1974-06-09,24.0
891,1974-06-10,22.5
892,1974-06-11,21.0
893,1974-06-12,20.2
894,1974-06-13,20.2
895,1974-06-14,21.0
896,1974-06-15,21.0
897,1974-06-16,20.2
898,1974-06-17,20.2
899,1974-06-18,20.2
900,1974-06-19,21.0
901,1974-06-20,21.0
902,1974-06-21,18.9
903,1974-06-22,19.5
904,1974-06-23,20.2
905,1974-06-24,20.2
906,1974-06-25,20.2
907,1974-06-26,19.5
908,1974-06-27,18.9
909,1974-06-28,18.9
910,1974-06-29,18.2
911,1974-06-30,17.6
912,1974-07-01,17.6
913,1974-07-02,18.2
914,1974-07-03,18.2
915,1974-07-04,18.9
916,1974-07-05,19.5
917,1974-07-06,21.0
918,1974-07-07,22.5
919,1974-07-08,25.6
920,1974-07-09,27.9
921,1974-07-10,28.8
922,1974-07-11,30.5
923,1974-07-12,31.4
924,1974-07-13,31.4
925,1974-07-14,29.7
926,1974-07-15,27.1
927,1974-07-16,25.6
928,1974-07-17,21.7
929,1974-07-18,19.5
930,1974-07-19,18.9
931,1974-07-20,18.2
932,1974-07-21,17.6
933,1974-07-22,16.9
934,1974-07-23,14.9
935,1974-07-24,13.6
936,1974-07-25,13.6
937,1974-07-26,13.6
938,1974-07-27,13.6
939,1974-07-28,14.3
940,1974-07-29,14.3
941,1974-07-30,14.9
942,1974-07-31,14.9
943,1974-08-01,15.6
944,1974-08-02,15.6
945,1974-08-03,15.6
946,1974-08-04,14.9
947,1974-08-05,13.6
948,1974-08-06,13.6
949,1974-08-07,13.6
950,1974-08-08,13.6
951,1974-08-09,14.3
952,1974-08-10,14.9
953,1974-08-11,15.6
954,1974-08-12,16.2
955,1974-08-13,16.2
956,1974-08-14,17.6
957,1974-08-15,18.9
958,1974-08-16,18.9
959,1974-08-17,19.5
960,1974-08-18,21.7
961,1974-08-19,21.7
962,1974-08-20,21.0
963,1974-08-21,19.5
964,1974-08-22,18.9
965,1974-08-23,17.6
966,1974-08-24,16.2
967,1974-08-25,15.6
968,1974-08-26,16.2
969,1974-08-27,14.9
970,1974-08-28,15.6
971,1974-08-29,14.9
972,1974-08-30,14.9
973,1974-08-31,14.9
974,1974-09-01,13.6
975,1974-09-02,13.6
976,1974-09-03,12.5
977,1974-09-04,12.0
978,1974-09-05,12.5
979,1974-09-06,13.1
980,1974-09-07,13.1
981,1974-09-08,12.5
982,1974-09-09,12.0
983,1974-09-10,12.0
984,1974-09-11,13.1
985,1974-09-12,12.5
986,1974-09-13,12.5
987,1974-09-14,10.9
988,1974-09-15,10.9
989,1974-09-16,10.3
990,1974-09-17,10.9
991,1974-09-18,11.4
992,1974-09-19,12.0
993,1974-09-20,12.0
994,1974-09-21,12.0
995,1974-09-22,12.0
996,1974-09-23,12.0
997,1974-09-24,10.9
998,1974-09-25,10.9
999,1974-09-26,11.4
1000,1974-09-27,11.4
1001,1974-09-28,11.4
1002,1974-09-29,11.4
1003,1974-09-30,10.9
1004,1974-10-01,11.4
1005,1974-10-02,11.4
1006,1974-10-03,12.0
1007,1974-10-04,12.5
1008,1974-10-05,11.4
1009,1974-10-06,11.4
1010,1974-10-07,11.4
1011,1974-10-08,11.4
1012,1974-10-09,11.4
1013,1974-10-10,11.4
1014,1974-10-11,14.9
1015,1974-10-12,16.2
1016,1974-10-13,18.2
1017,1974-10-14,18.9
1018,1974-10-15,17.6
1019,1974-10-16,16.2
1020,1974-10-17,13.6
1021,1974-10-18,12.0
1022,1974-10-19,12.0
1023,1974-10-20,13.6
1024,1974-10-21,40.6
1025,1974-10-22,39.6
1026,1974-10-23,73.8
1027,1974-10-24,80.0
1028,1974-10-25,75.0
1029,1974-10-26,60.7
1030,1974-10-27,48.6
1031,1974-10-28,43.5
1032,1974-10-29,39.6
1033,1974-10-30,26.4
1034,1974-10-31,29.7
1035,1974-11-01,34.9
1036,1974-11-02,49.6
1037,1974-11-03,52.9
1038,1974-11-04,52.9
1039,1974-11-05,45.4
1040,1974-11-06,41.5
1041,1974-11-07,36.7
1042,1974-11-08,34.9
1043,1974-11-09,42.5
1044,1974-11-10,42.5
1045,1974-11-11,46.4
1046,1974-11-12,48.6
1047,1974-11-13,44.5
1048,1974-11-14,39.6
1049,1974-11-15,36.7
1050,1974-11-16,56.1
1051,1974-11-17,105.0
1052,1974-11-18,96.1
1053,1974-11-19,78.8
1054,1974-11-20,66.5
1055,1974-11-21,55.0
1056,1974-11-22,46.4
1057,1974-11-23,39.6
1058,1974-11-24,59.5
1059,1974-11-25,97.6
1060,1974-11-26,102.0
1061,1974-11-27,80.0
1062,1974-11-28,68.8
1063,1974-11-29,61.8
1064,1974-11-30,49.6
1065,1974-12-01,41.5
1066,1974-12-02,33.2
1067,1974-12-03,25.6
1068,1974-12-04,22.5
1069,1974-12-05,19.5
1070,1974-12-06,18.2
1071,1974-12-07,21.0
1072,1974-12-08,25.6
1073,1974-12-09,35.8
1074,1974-12-10,55.0
1075,1974-12-11,60.7
1076,1974-12-12,58.4
1077,1974-12-13,65.3
1078,1974-12-14,75.0
1079,1974-12-15,68.8
1080,1974-12-16,56.1
1081,1974-12-17,44.5
1082,1974-12-18,34.9
1083,1974-12-19,28.8
1084,1974-12-20,26.4
1085,1974-12-21,43.5
1086,1974-12-22,78.8
1087,1974-12-23,63.0
1088,1974-12-24,54.0
1089,1974-12-25,64.2
1090,1974-12-26,75.0
1091,1974-12-27,77.5
1092,1974-12-28,132.0
1093,1974-12-29,149.0
1094,1974-12-30,117.0
1095,1974-12-31,89.3
1096,1975-01-01,70.0
1097,1975-01-02,56.1
1098,1975-01-03,47.5
1099,1975-01-04,44.5
1100,1975-01-05,51.8
1101,1975-01-06,67.6
1102,1975-01-07,65.3
1103,1975-01-08,75.0
1104,1975-01-09,86.7
1105,1975-01-10,71.3
1106,1975-01-11,64.2
1107,1975-01-12,55.0
1108,1975-01-13,43.5
1109,1975-01-14,34.9
1110,1975-01-15,29.7
1111,1975-01-16,25.6
1112,1975-01-17,21.0
1113,1975-01-18,14.3
1114,1975-01-19,13.6
1115,1975-01-20,12.5
1116,1975-01-21,13.1
1117,1975-01-22,33.2
1118,1975-01-23,43.5
1119,1975-01-24,59.5
1120,1975-01-25,66.5
1121,1975-01-26,59.5
1122,1975-01-27,52.9
1123,1975-01-28,47.5
1124,1975-01-29,42.5
1125,1975-01-30,36.7
1126,1975-01-31,30.5
1127,1975-02-01,27.1
1128,1975-02-02,24.0
1129,1975-02-03,21.0
1130,1975-02-04,24.0
1131,1975-02-05,26.4
1132,1975-02-06,27.9
1133,1975-02-07,29.7
1134,1975-02-08,28.8
1135,1975-02-09,27.9
1136,1975-02-10,28.8
1137,1975-02-11,31.4
1138,1975-02-12,72.5
1139,1975-02-13,77.5
1140,1975-02-14,67.6
1141,1975-02-15,57.2
1142,1975-02-16,55.0
1143,1975-02-17,46.4
1144,1975-02-18,34.9
1145,1975-02-19,26.4
1146,1975-02-20,19.5
1147,1975-02-21,14.9
1148,1975-02-22,14.9
1149,1975-02-23,14.9
1150,1975-02-24,14.3
1151,1975-02-25,13.6
1152,1975-02-26,12.5
1153,1975-02-27,12.5
1154,1975-02-28,11.4
1155,1975-03-01,10.3
1156,1975-03-02,10.3
1157,1975-03-03,10.3
1158,1975-03-04,12.5
1159,1975-03-05,13.6
