,Datas,55470000
0,1972-01-01,32.1
1,1972-01-02,29.3
2,1972-01-03,29.3
3,1972-01-04,34.9
4,1972-01-05,33.0
5,1972-01-06,31.2
6,1972-01-07,31.2
7,1972-01-08,28.4
8,1972-01-09,27.5
9,1972-01-10,24.1
10,1972-01-11,24.9
11,1972-01-12,28.4
12,1972-01-13,31.2
13,1972-01-14,34.9
14,1972-01-15,41.9
15,1972-01-16,45.4
16,1972-01-17,55.3
17,1972-01-18,73.5
18,1972-01-19,62.9
19,1972-01-20,50.9
20,1972-01-21,46.6
21,1972-01-22,41.9
22,1972-01-23,39.6
23,1972-01-24,36.1
24,1972-01-25,34.9
25,1972-01-26,33.0
26,1972-01-27,31.2
27,1972-01-28,29.3
28,1972-01-29,26.5
29,1972-01-30,24.1
30,1972-01-31,24.1
31,1972-02-01,24.1
32,1972-02-02,23.4
33,1972-02-03,22.7
34,1972-02-04,21.9
35,1972-02-05,20.5
36,1972-02-06,19.8
37,1972-02-07,19.8
38,1972-02-08,21.2
39,1972-02-09,22.7
40,1972-02-10,21.9
41,1972-02-11,21.2
42,1972-02-12,20.5
43,1972-02-13,19.8
44,1972-02-14,20.5
45,1972-02-15,21.2
46,1972-02-16,21.2
47,1972-02-17,21.2
48,1972-02-18,20.5
49,1972-02-19,19.8
50,1972-02-20,19.0
51,1972-02-21,18.3
52,1972-02-22,18.3
53,1972-02-23,18.3
54,1972-02-24,18.3
55,1972-02-25,18.3
56,1972-02-26,17.7
57,1972-02-27,17.2
58,1972-02-28,16.6
59,1972-02-29,18.3
60,1972-03-01,23.4
61,1972-03-02,25.6
62,1972-03-03,29.3
63,1972-03-04,27.5
64,1972-03-05,25.6
65,1972-03-06,30.2
66,1972-03-07,31.2
67,1972-03-08,26.5
68,1972-03-09,24.9
69,1972-03-10,20.5
70,1972-03-11,19.0
71,1972-03-12,18.3
72,1972-03-13,18.3
73,1972-03-14,19.0
74,1972-03-15,17.7
75,1972-03-16,16.6
76,1972-03-17,16.1
77,1972-03-18,16.1
78,1972-03-19,15.5
79,1972-03-20,16.6
80,1972-03-21,18.3
81,1972-03-22,28.4
82,1972-03-23,37.2
83,1972-03-24,45.4
84,1972-03-25,41.9
85,1972-03-26,40.7
86,1972-03-27,43.1
87,1972-03-28,34.9
88,1972-03-29,33.0
89,1972-03-30,32.1
90,1972-03-31,32.1
91,1972-04-01,29.3
92,1972-04-02,28.4
93,1972-04-03,24.9
94,1972-04-04,24.1
95,1972-04-05,25.6
96,1972-04-06,37.2
97,1972-04-07,41.9
98,1972-04-08,40.7
99,1972-04-09,37.2
100,1972-04-10,34.0
101,1972-04-11,23.4
