,Datas,58519030
0,2018-08-01,36.547
1,2018-08-02,37.875
2,2018-08-03,39.229
3,2018-08-04,48.921
4,2018-08-05,49.954
5,2018-08-06,47.393
6,2018-08-07,50.999
7,2018-08-08,44.904
8,2018-08-09,43.929
9,2018-08-10,42.014
10,2018-08-11,39.686
11,2018-08-12,38.775
12,2018-08-13,37.43
13,2018-08-14,38.323
14,2018-08-15,36.987
15,2018-08-16,35.676
16,2018-08-17,35.676
17,2018-08-18,37.43
18,2018-08-19,36.987
19,2018-08-20,36.547
20,2018-08-21,36.547
21,2018-08-22,37.43
22,2018-08-23,37.875
23,2018-08-24,33.968
24,2018-08-25,33.131
25,2018-08-26,33.548
26,2018-08-27,35.676
27,2018-08-28,35.676
28,2018-08-29,36.547
29,2018-08-30,
30,2018-08-31,
31,2018-07-01,36.987
32,2018-07-02,36.987
33,2018-07-03,35.676
34,2018-07-04,36.11
35,2018-07-05,36.987
36,2018-07-06,36.987
37,2018-07-07,36.11
38,2018-07-08,36.11
39,2018-07-09,35.676
40,2018-07-10,33.968
41,2018-07-11,38.323
42,2018-07-12,39.229
43,2018-07-13,39.229
44,2018-07-14,37.875
45,2018-07-15,37.43
46,2018-07-16,37.43
47,2018-07-17,36.987
48,2018-07-18,35.676
49,2018-07-19,38.323
50,2018-07-20,33.548
51,2018-07-21,34.816
52,2018-07-22,33.968
53,2018-07-23,35.676
54,2018-07-24,36.547
55,2018-07-25,35.676
56,2018-07-26,32.717
57,2018-07-27,33.968
58,2018-07-28,33.548
59,2018-07-29,37.875
60,2018-07-30,36.547
61,2018-07-31,35.245
62,2018-06-01,19.359
63,2018-06-02,19.359
64,2018-06-03,18.744
65,2018-06-04,18.744
66,2018-06-05,19.05
67,2018-06-06,19.05
68,2018-06-07,22.935
69,2018-06-08,20.943
70,2018-06-09,17.253
71,2018-06-10,16.392
72,2018-06-11,20.301
73,2018-06-12,19.984
74,2018-06-13,19.05
75,2018-06-14,18.44
76,2018-06-15,18.44
77,2018-06-16,18.44
78,2018-06-17,18.744
79,2018-06-18,18.44
80,2018-06-19,18.44
81,2018-06-20,18.44
82,2018-06-21,18.44
83,2018-06-22,13.691
84,2018-06-23,15.554
85,2018-06-24,18.139
86,2018-06-25,17.841
87,2018-06-26,27.215
88,2018-06-27,38.323
89,2018-06-28,35.676
90,2018-06-29,37.875
91,2018-06-30,36.987
92,2018-05-01,24.317
93,2018-05-02,23.276
94,2018-05-03,23.621
95,2018-05-04,23.276
96,2018-05-05,23.276
97,2018-05-06,23.276
98,2018-05-07,22.26
99,2018-05-08,22.26
100,2018-05-09,25.744
101,2018-05-10,23.968
102,2018-05-11,22.935
103,2018-05-12,22.935
104,2018-05-13,23.621
105,2018-05-14,20.943
106,2018-05-15,23.968
107,2018-05-16,23.621
108,2018-05-17,34.391
109,2018-05-18,28.731
110,2018-05-19,25.383
111,2018-05-20,23.621
112,2018-05-21,21.927
113,2018-05-22,21.596
114,2018-05-23,20.301
115,2018-05-24,19.984
116,2018-05-25,20.301
117,2018-05-26,20.301
118,2018-05-27,19.67
119,2018-05-28,19.67
120,2018-05-29,19.67
121,2018-05-30,19.67
122,2018-05-31,19.05
123,2018-04-01,30.689
124,2018-04-02,30.689
125,2018-04-03,
126,2018-04-04,
127,2018-04-05,78.337
128,2018-04-06,58.647
129,2018-04-07,54.751
130,2018-04-08,47.393
131,2018-04-09,48.921
132,2018-04-10,49.436
133,2018-04-11,41.543
134,2018-04-12,40.146
135,2018-04-13,32.717
136,2018-04-14,31.897
137,2018-04-15,30.689
138,2018-04-16,38.323
139,2018-04-17,41.074
140,2018-04-18,41.074
141,2018-04-19,33.968
142,2018-04-20,31.089
143,2018-04-21,30.292
144,2018-04-22,28.731
145,2018-04-23,28.348
146,2018-04-24,28.348
147,2018-04-25,27.968
148,2018-04-26,27.215
149,2018-04-27,26.474
150,2018-04-28,26.844
151,2018-04-29,25.744
152,2018-04-30,25.383
153,2018-03-01,128.93
154,2018-03-02,95.158
155,2018-03-03,104.239
156,2018-03-04,93.688
157,2018-03-05,130.678
158,2018-03-06,126.333
159,2018-03-07,
160,2018-03-08,
161,2018-03-09,
162,2018-03-10,
163,2018-03-11,
164,2018-03-12,
165,2018-03-13,83.059
166,2018-03-14,
167,2018-03-15,
168,2018-03-16,69.341
169,2018-03-17,71.219
170,2018-03-18,69.341
171,2018-03-19,64.468
172,2018-03-20,50.475
173,2018-03-21,56.959
174,2018-03-22,59.787
175,2018-03-23,71.85
176,2018-03-24,69.964
177,2018-03-25,57.519
178,2018-03-26,42.966
179,2018-03-27,40.146
180,2018-03-28,34.391
181,2018-03-29,37.43
182,2018-03-30,35.245
183,2018-03-31,33.131
184,2018-02-01,108.95
185,2018-02-02,87.932
186,2018-02-03,75.705
187,2018-02-04,79.002
188,2018-02-05,112.962
189,2018-02-06,130.678
190,2018-02-07,193.464
191,2018-02-08,184.881
192,2018-02-09,171.386
193,2018-02-10,131.557
194,2018-02-11,93.688
195,2018-02-12,85.129
196,2018-02-13,92.23
197,2018-02-14,80.342
198,2018-02-15,73.123
199,2018-02-16,79.671
200,2018-02-17,71.85
